Digester__TO__DocumentBuilder/ItspAccounts.java:32:13:error(zero-trust-xml-audit):            digester.addObjectCreate("sipxbridge-config", ItspAccounts.class);:高危：检测到 XML 组件 ($ANY) 的使用。未能在同范围内识别到有效的安全配置（如 disallow-doctype-decl 为 true）。
Digester__TO__DocumentBuilder/ItspAccounts.java:37:13:error(zero-trust-xml-audit):            digester.addObjectCreate(ITSP_CONFIG, ItspAccount.class);:高危：检测到 XML 组件 ($ANY) 的使用。未能在同范围内识别到有效的安全配置（如 disallow-doctype-decl 为 true）。
Digester__TO__DocumentBuilder/ItspAccounts.java:38:13:error(zero-trust-xml-audit):            digester.addSetNext(ITSP_CONFIG, "addItspAccount");:高危：检测到 XML 组件 ($ANY) 的使用。未能在同范围内识别到有效的安全配置（如 disallow-doctype-decl 为 true）。
Digester__TO__DocumentBuilder/ItspAccounts.java:40:13:error(zero-trust-xml-audit):            digester.addCallMethod(String.format("%s/%s", ITSP_CONFIG,"itsp-proxy-address"), "setItspProxyAddress",0);:高危：检测到 XML 组件 ($ANY) 的使用。未能在同范围内识别到有效的安全配置（如 disallow-doctype-decl 为 true）。
Digester__TO__DocumentBuilder/ItspAccounts.java:41:13:error(zero-trust-xml-audit):            digester.addCallMethod(String.format("%s/%s", ITSP_CONFIG,"itsp-proxy-port"), "setItspProxyPort",0);:高危：检测到 XML 组件 ($ANY) 的使用。未能在同范围内识别到有效的安全配置（如 disallow-doctype-decl 为 true）。
Digester__TO__DocumentBuilder/ItspAccounts.java:42:13:error(zero-trust-xml-audit):            digester.addCallMethod(String.format("%s/%s", ITSP_CONFIG,"itsp-proxy-domain"), "setItspProxyDomain",0);:高危：检测到 XML 组件 ($ANY) 的使用。未能在同范围内识别到有效的安全配置（如 disallow-doctype-decl 为 true）。
Digester__TO__DocumentBuilder/ItspAccounts.java:47:13:error(zero-trust-xml-audit):            digester:高危：检测到 XML 组件 ($ANY) 的使用。未能在同范围内识别到有效的安全配置（如 disallow-doctype-decl 为 true）。
Digester__TO__DocumentBuilder/ItspAccounts.java:53:13:error(zero-trust-xml-audit):            digester.addCallMethod(String.format("%s/%s", ITSP_CONFIG, "password"), "setPassword", 0);:高危：检测到 XML 组件 ($ANY) 的使用。未能在同范围内识别到有效的安全配置（如 disallow-doctype-decl 为 true）。
Digester__TO__DocumentBuilder/ItspAccounts.java:60:56:error(zero-trust-xml-audit):        javax.xml.parsers.DocumentBuilderFactory dbf = javax.xml.parsers.DocumentBuilderFactory.newInstance();:高危：检测到 XML 组件 ($ANY) 的使用。未能在同范围内识别到有效的安全配置（如 disallow-doctype-decl 为 true）。
Digester__TO__DocumentBuilder/ItspAccounts.java:60:56:error(zero-trust-xml-audit):        javax.xml.parsers.DocumentBuilderFactory dbf = javax.xml.parsers.DocumentBuilderFactory.newInstance();:高危：检测到 XML 组件 ($ANY) 的使用。未能在同范围内识别到有效的安全配置（如 disallow-doctype-decl 为 true）。
Digester__TO__DocumentBuilder/XMLTextConceptDigester.java:39:52:error(zero-trust-xml-audit):    javax.xml.parsers.DocumentBuilderFactory dbf = javax.xml.parsers.DocumentBuilderFactory.newInstance();:高危：检测到 XML 组件 ($ANY) 的使用。未能在同范围内识别到有效的安全配置（如 disallow-doctype-decl 为 true）。
Digester__TO__DocumentBuilder/XMLTextConceptDigester.java:39:52:error(zero-trust-xml-audit):    javax.xml.parsers.DocumentBuilderFactory dbf = javax.xml.parsers.DocumentBuilderFactory.newInstance();:高危：检测到 XML 组件 ($ANY) 的使用。未能在同范围内识别到有效的安全配置（如 disallow-doctype-decl 为 true）。
Digester__TO__InputFactory/ItspAccounts.java:34:13:error(zero-trust-xml-audit):            digester.addObjectCreate("sipxbridge-config", ItspAccounts.class);:高危：检测到 XML 组件 ($ANY) 的使用。未能在同范围内识别到有效的安全配置（如 disallow-doctype-decl 为 true）。
